,visual parameter label,visual parameter value,xticks,yticks,ax_00_0_imshow_row,ax_00_0_imshow_col,ax_00_0_imshow_value,preserved 0,ax_01_0_imshow_row,ax_01_0_imshow_col,ax_01_0_imshow_value,ax_02_0_imshow_row,ax_02_0_imshow_col,ax_02_0_imshow_value,ax_04_0_bar_x,ax_04_0_bar_y,ax_05_0_bar_x,ax_05_0_bar_y
228,,,,,4,28,0.0015596747,NONE_STR,4,28,0.0005968809,4,28,-0.0009627938,,,,
229,,,,,4,29,0.0013384223,NONE_STR,4,29,0.008960068,4,29,0.007621646,,,,
230,,,,,4,30,0.0018169284,NONE_STR,4,30,0.0019339919,4,30,0.00011706352,,,,
231,,,,,4,31,0.0014536977,NONE_STR,4,31,0.002715826,4,31,0.0012621284,,,,
232,,,,,4,32,0.0015644431,NONE_STR,4,32,0.00026148558,4,32,-0.0013029575,,,,
233,,,,,4,33,0.0015824437,NONE_STR,4,33,0.015678644,4,33,0.0140962005,,,,
234,,,,,4,34,0.0015491247,NONE_STR,4,34,0.007984579,4,34,0.006435454,,,,
235,,,,,4,35,0.0015363097,NONE_STR,4,35,0.0015215874,4,35,-1.4722347e-05,,,,
236,,,,,4,36,0.0014885068,NONE_STR,4,36,0.00032007694,4,36,-0.0011684299,,,,
237,,,,,4,37,0.0015457869,NONE_STR,4,37,0.031772733,4,37,0.030226946,,,,
238,,,,,4,38,0.0021383762,NONE_STR,4,38,0.0005967021,4,38,-0.0015416741,,,,
239,,,,,4,39,0.0024155378,NONE_STR,4,39,0.0007222295,4,39,-0.0016933084,,,,
240,,,,,4,40,0.0020663142,NONE_STR,4,40,0.0011996031,4,40,-0.00086671114,,,,
241,,,,,4,41,0.0024622679,NONE_STR,4,41,0.0018236041,4,41,-0.00063866377,,,,
242,,,,,4,42,0.0030415654,NONE_STR,4,42,0.0007752776,4,42,-0.0022662878,,,,
243,,,,,4,43,0.0034990907,NONE_STR,4,43,0.00023329258,4,43,-0.003265798,,,,
244,,,,,4,44,0.0037574768,NONE_STR,4,44,0.0038465261,4,44,8.904934e-05,,,,
245,,,,,4,45,0.0036602616,NONE_STR,4,45,0.006225705,4,45,0.0025654435,,,,
246,,,,,4,46,0.0032587647,NONE_STR,4,46,0.012564778,4,46,0.009306014,,,,
247,,,,,4,47,0.0029360652,NONE_STR,4,47,0.0008252263,4,47,-0.002110839,,,,
248,,,,,4,48,0.0025697947,NONE_STR,4,48,0.0010339618,4,48,-0.0015358329,,,,
249,,,,,4,49,0.0021773577,NONE_STR,4,49,0.0012085438,4,49,-0.0009688139,,,,
250,,,,,5,0,0.002144754,NONE_STR,5,0,0.0007788539,5,0,-0.0013659,,,,
251,,,,,5,1,0.0020129085,NONE_STR,5,1,0.001152575,5,1,-0.00086033344,,,,
252,,,,,5,2,0.001532793,NONE_STR,5,2,0.0011917949,5,2,-0.00034099817,,,,
253,,,,,5,3,0.00193578,NONE_STR,5,3,0.0035800934,5,3,0.0016443133,,,,
254,,,,,5,4,0.0013328195,NONE_STR,5,4,0.0010057092,5,4,-0.0003271103,,,,
