,ax_00_0_imshow_row,ax_00_0_imshow_col,ax_00_0_imshow_value,ax_02_0_bar_x,ax_02_0_bar_y,ax_03_0_hist_x
2571,25,71,0.0008586248,,,0.0008586248
2572,25,72,0.00066304207,,,0.00066304207
2573,25,73,0.00058960915,,,0.00058960915
2574,25,74,0.0005670389,,,0.0005670389
2575,25,75,0.00057174766,,,0.00057174766
2576,25,76,0.00059525174,,,0.00059525174
2577,25,77,0.0006290277,,,0.0006290277
2578,25,78,0.00065654516,,,0.00065654516
2579,25,79,0.0006624858,,,0.0006624858
2580,25,80,0.00064949197,,,0.00064949197
2581,25,81,0.00063308084,,,0.00063308084
2582,25,82,0.0006231467,,,0.0006231467
2583,25,83,0.0006162524,,,0.0006162524
2584,25,84,0.0006049673,,,0.0006049673
2585,25,85,0.0005894701,,,0.0005894701
2586,25,86,0.00057578087,,,0.00057578087
2587,25,87,0.00056848925,,,0.00056848925
2588,25,88,0.0005692045,,,0.0005692045
2589,25,89,0.00058174133,,,0.00058174133
2590,25,90,0.00060908,,,0.00060908
2591,25,91,0.0006931424,,,0.0006931424
2592,25,92,0.0009553234,,,0.0009553234
2593,25,93,0.0018017094,,,0.0018017094
2594,25,94,0.0034405193,,,0.0034405193
2595,25,95,0.00414898,,,0.00414898
2596,25,96,0.0038038096,,,0.0038038096
2597,25,97,0.002987504,,,0.002987504
2598,25,98,0.0018674135,,,0.0018674135
2599,25,99,0.0013078054,,,0.0013078054
2600,26,0,0.00079627836,,,0.00079627836
2601,26,1,0.00062408054,,,0.00062408054
2602,26,2,0.0004522006,,,0.0004522006
2603,26,3,0.00041292113,,,0.00041292113
2604,26,4,0.00041270256,,,0.00041270256
2605,26,5,0.00037839016,,,0.00037839016
2606,26,6,0.00035631657,,,0.00035631657
2607,26,7,0.00038717192,,,0.00038717192
2608,26,8,0.00039207935,,,0.00039207935
2609,26,9,0.00035005808,,,0.00035005808
2610,26,10,0.0003400445,,,0.0003400445
2611,26,11,0.00048744678,,,0.00048744678
2612,26,12,0.0008218686,,,0.0008218686
2613,26,13,0.0014676651,,,0.0014676651
2614,26,14,0.0023172498,,,0.0023172498
2615,26,15,0.0031006336,,,0.0031006336
2616,26,16,0.0035159192,,,0.0035159192
2617,26,17,0.0034558575,,,0.0034558575
2618,26,18,0.0030812225,,,0.0030812225
2619,26,19,0.0025342703,,,0.0025342703
2620,26,20,0.0019657414,,,0.0019657414
2621,26,21,0.0015665492,,,0.0015665492
2622,26,22,0.0012348493,,,0.0012348493
2623,26,23,0.0009966493,,,0.0009966493
2624,26,24,0.0008635124,,,0.0008635124
2625,26,25,0.0008791884,,,0.0008791884
2626,26,26,0.00091811025,,,0.00091811025
2627,26,27,0.00086194277,,,0.00086194277
2628,26,28,0.0006655256,,,0.0006655256
2629,26,29,0.00046944618,,,0.00046944618
2630,26,30,0.0005002221,,,0.0005002221
2631,26,31,0.00094060105,,,0.00094060105
2632,26,32,0.0017390251,,,0.0017390251
2633,26,33,0.0026856265,,,0.0026856265
2634,26,34,0.0035543046,,,0.0035543046
2635,26,35,0.0041994653,,,0.0041994653
